Data source:,http://insideairbnb.com/get-the-data.html,,,,,,,,,,,,,,,,,,,,
Date:,03/11/2021,,,,,,,,,,,,,,,,,,,,
Description:,"AIRBNB New York, Staten Island data only",,,,,,,,,,,,,,,,,,,,
id,name,host_id,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,neighbourhood,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,availability_365,number_of_reviews,last_review,review_scores_rating,instant_bookable,reviews_per_month,no_of_pics
42882,New York room with a view,185978,Newyorkroomwithaview,within a day,100%,50%,t,St. George,Staten Island,40.64633,-74.08156,Private room,$70.00,2,297,176,03/11/2019,4.8,f,1.72,
214917,New Clean Spacious Bed & Breakfast,1109658,Carmel,N/A,N/A,N/A,f,Emerson Hill,Staten Island,40.60742,-74.14388,Entire home/apt,$76.00,30,0,2,08/02/2018,5,f,0.03,
225976,Cozy multi-leveled apartment!,1177947,Marina,N/A,N/A,75%,t,Shore Acres,Staten Island,40.61019,-74.06757,Entire home/apt,$75.00,6,138,88,01/06/2021,4.54,t,0.78,
258838,"Oceanview,close to Manhattan",1360198,Marina,within an hour,100%,67%,t,Arrochar,Staten Island,40.591675,-74.065865,Entire home/apt,$229.00,2,335,32,04/10/2021,4.97,f,0.86,
310272,"Private Room in Artist's Home, Stapleton, SI",1390555,Jonathan,N/A,N/A,N/A,f,Clifton,Staten Island,40.62449,-74.0781,Private room,$61.00,30,0,51,28/06/2019,4.34,f,0.56,1
386555,A PLACE TO STAY CLOSE TO MANHATTAN,773928,Nen,N/A,N/A,N/A,f,Stapleton,Staten Island,40.62719,-74.08016,Private room,$106.00,30,364,7,03/11/2019,4.8,f,0.12,
,,,,,,,,,,,,,,,,,,,,,
503460,Spacious Apartment w extra room,2483236,Caitlin,N/A,N/A,N/A,f,New Springville,Staten Island,40.59274,-74.16178,Private room,$68.00,30,0,11,22/10/2018,4.75,f,0.17,
637641,Convenient to Manhattan,3181056,Sylvia,within a few hours,100%,29%,t,Tompkinsville,Staten Island,40.63264,-74.08624,Entire home/apt,$86.00,365,359,8,14/05/2014,5,f,0.07,
644575,Enjoy and discover New York Citi,15523,Vadim,a few days or more,43%,0%,f,Tompkinsville,Staten Island,40.63139,-74.08169,Private room,$71.00,30,293,24,08/10/2019,4.79,f,0.27,
681805,NEAR THE CITY THAT NEVER SLEEPS!,3375455,Maria,within a few hours,100%,86%,f,Mariners Harbor,Staten Island,40.62915,-74.16214,Private room,$44.00,3,355,80,03/09/2021,4.75,f,2.19,
705749,Room Available Close to Manhattan-A,3625735,Marianne,within a day,100%,N/A,t,Concord,Staten Island,40.60066,-74.08902,Private room,$68.00,30,363,60,20/07/2019,4.76,t,0.79,
712136,Room Available-Close to Manhattan-B,3625735,Marianne,within a day,100%,N/A,t,Concord,Staten Island,40.60035,-74.09103,Private room,$68.00,30,0,36,29/08/2017,4.61,f,0.33,
1665498,"ESSENTIAL WRKRS WELCOME! 3rd FL,PrivBrm w PrivBath",8821936,Lynn,N/A,N/A,N/A,t,Shore Acres,Staten Island,40.61033,-74.06544,Private room,$111.00,3,68,30,24/10/2021,4.86,f,0.37,
1682963,ESSENTIAL WRKRS WELCOME! Basemnt Space w Priv Bath,8821936,Lynn,N/A,N/A,N/A,t,Shore Acres,Staten Island,40.61158,-74.06534,Shared room,$132.00,30,275,7,10/03/2020,4.71,f,0.1,
2611458,close to Manhattan country setting,13373889,Nidal,within a few hours,100%,56%,f,Concord,Staten Island,40.60364,-74.08265,Private room,$114.00,30,87,48,08/05/2021,4.24,t,0.74,
2794725,LOOK! Attached single family,14295613,Skylar,N/A,N/A,N/A,f,Clifton,Staten Island,40.62578,-74.07356,Entire home/apt,$75.00,30,0,1,19/04/2014,4,f,0.01,
2889387,New York City near Staten Is. Ferry,2269517,Rob&Elle,within an hour,100%,100%,t,St. George,Staten Island,40.64367,-74.0794,Private room,$85.00,2,0,292,11/09/2021,4.98,f,3.28,
3465651,“No Place Like Home” 1st Floor Suburban Apt.,4060346,"Lisa, Nancy & John",within an hour,100%,74%,t,Huguenot,Staten Island,40.54153,-74.16442,Private room,$66.00,1,262,191,18/10/2021,4.86,f,2.55,
3743048,SWEET BOHO OASIS ROOM Steps to Ferry! Great Value!,19143974,Meghan,N/A,N/A,N/A,t,St. George,Staten Island,40.64453,-74.0776,Private room,$74.00,2,332,156,31/10/2021,4.84,f,2.29,
4033422,The Lighthouse Manor,20911928,Judith,within a few hours,100%,71%,f,Lighthouse Hill,Staten Island,40.57716,-74.14087,Entire home/apt,$150.00,30,364,56,02/01/2020,4.64,f,0.85,
4206034,Clean and Huge Studio in Safe Area,18382740,Takao & Aiko,a few days or more,0%,0%,t,Randall Manor,Staten Island,40.63603,-74.0951,Entire home/apt,$115.00,7,156,41,21/07/2019,4.88,f,0.55,
4974843,Charming private Studio,25641892,Tonia,N/A,N/A,100%,f,Randall Manor,Staten Island,40.63268,-74.12607,Entire home/apt,$69.00,30,159,213,28/06/2021,4.77,f,2.77,1
5225088,Glorious Mornings Townhouse,2265022,K. Zovia,within an hour,100%,100%,t,Mariners Harbor,Staten Island,40.62914,-74.15927,Entire home/apt,$150.00,30,352,24,20/09/2021,4.79,t,0.33,
5771366,Authentic New York Vintage Home,1211067,"Hans, Sandra & Son",within an hour,100%,80%,t,Clifton,Staten Island,40.6212,-74.08558,Private room,$49.00,30,285,180,20/10/2021,4.92,f,2.34,
5899598,1-BdRm Entire Apartment St. George,6319915,Jason,within a day,90%,31%,f,St. George,Staten Island,40.64414,-74.08239,Private room,$62.00,30,23,140,22/04/2020,4.96,f,2.21,
6181131,"Quiet Room Near RUMC (1st floor, Room 3)",32060911,Ervis,within a few hours,100%,74%,t,West Brighton,Staten Island,40.63451,-74.11527,Private room,$50.00,30,264,12,03/10/2021,5,f,0.31,
6330321,"Mellow, Relaxed Apt",6319915,Jason,within a day,90%,31%,f,St. George,Staten Island,40.64518,-74.08166,Entire home/apt,$74.00,28,37,156,01/09/2021,4.97,f,2.21,
6553257,Royal Oxford,34272645,Jean,within an hour,100%,82%,t,Tompkinsville,Staten Island,40.63395,-74.08691,Entire home/apt,$120.00,4,343,85,23/10/2021,4.75,t,1.16,
6739145,Ranch style house with driveway,25368839,Florence,within an hour,100%,88%,t,Dongan Hills,Staten Island,40.58172,-74.08948,Entire home/apt,$162.00,30,290,82,04/07/2021,4.96,f,1.29,
7144807,"Spacious, Clean , Close to Local Transportation",37360127,Mel,N/A,N/A,N/A,f,Castleton Corners,Staten Island,40.61363,-74.12152,Private room,$45.00,30,0,0,,,f,,
8275676,LOVELY Clean&Safe 2 BR NYC Suburban,43637999,Martha,within an hour,100%,86%,t,Great Kills,Staten Island,40.54615,-74.14654,Private room,$99.00,1,165,103,23/10/2021,5,f,1.44,
8343222,"New Apartment, Close to Ferry",43977828,Mona,within an hour,100%,92%,f,Silver Lake,Staten Island,40.62287,-74.09968,Entire home/apt,$98.00,2,318,232,31/10/2021,4.7,t,3.65,
8589729,Magnolia House Saint George,45201692,Danforth,N/A,N/A,N/A,t,St. George,Staten Island,40.64816,-74.08445,Entire home/apt,$190.00,2,258,154,03/10/2021,4.86,f,2.32,
8664611,Affordable Luxury Minutes to Manhattan,45519775,Ayman,N/A,N/A,N/A,t,West Brighton,Staten Island,40.62872,-74.12154,Entire home/apt,$75.00,3,338,184,28/10/2021,4.87,f,3.01,
8671663,Two bus stops to World Trade Center,45550171,Michael,within a day,100%,90%,t,Concord,Staten Island,40.60494,-74.07337,Entire home/apt,$120.00,1,218,37,29/09/2021,5,f,0.59,
8934409,Cozy room with a desk,14637971,Nadya,within a few hours,100%,76%,t,Tompkinsville,Staten Island,40.63127,-74.08672,Private room,$40.00,5,247,26,13/12/2020,4.81,f,0.41,
9045427,Sunrise Condominium Apartment,47198995,Diana,N/A,N/A,N/A,f,Grymes Hill,Staten Island,40.61223,-74.09318,Entire home/apt,$200.00,30,0,1,01/11/2015,5,f,0.01,
9858717,3rd floor loft with a view,14637971,Nadya,within a few hours,100%,76%,t,Tompkinsville,Staten Island,40.63073,-74.08588,Private room,$42.00,5,62,37,31/05/2021,4.89,f,0.67,
10253159,Newly renovated house 4 bedroom. Minutes from NYC,10721093,Jonathan,within an hour,100%,100%,f,Castleton Corners,Staten Island,40.61066,-74.12276,Entire home/apt,$249.00,30,306,59,03/10/2020,4.97,f,1.31,
10413576,Quiet home free ferry to Manhattan,53627900,Mahmood,within a few hours,100%,77%,f,New Brighton,Staten Island,40.64365,-74.09113,Private room,$50.00,1,309,198,16/10/2021,4.74,f,3.04,
