loan_no,loan_date,default,balance,DSCR,campaign,interest,payment,total_income,loan_amount
100112,07/05/2021,yes,-106,21.243,Banking,9.585,256.82,10911,12327
100277,08/05/2021,no,1147,4.831,Digital,5,1620.52,15659,77784
100305,18/08/2021,no,47,8.833,Digital,10,699.01,12349,33552
100460,05/06/2021,no,636,2.473,Banking,2.05,5494.07,27174,263715
100540,19/08/2021,no,2122,6.58,Digital,2.875,1087.06,14306,52178
101062,30/06/2021,no,145,3.033,Digital,4.512005681,1989.82,12070,71633
101160,13/05/2021,no,807,1.588,Digital,6.012707713,366.14,1163,13181
101310,02/06/2021,no,1098,3.659,Banking,2.55,4012.55,29365,192602
101428,14/01/2021,no,51,10.016,Digital,6.881801541,641.98,12860,30815
101616,15/04/2021,no,726,7.268,Digital,7,906.41,13176,43507
101854,09/06/2021,no,1280,18.559,Banking,1.72,305.11,11325,14645
101959,29/05/2021,no,219,3.763,Digital,7.278473488,5793.92,43602,104290
101997,07/07/2021,no,0,3.969,?,1.465,2693.19,21381,129273
102057,18/11/2021,no,155,4.419,Digital,1.762826405,1776.76,15704,63963
102161,11/05/2021,no,-331,1.572,Digital,12.24409645,3619.82,11384,130313
102307,15/05/2021,no,402,2.086,Digital,12.78343594,2585.43,10787,46537
102532,25/08/2021,no,31,4.872,Digital,11.29219235,184.3,1796,3317
102538,31/07/2021,no,3029,3.822,Digital,7.018911004,4644.55,35501,167203
102998,09/07/2021,no,31,8.528,Digital,9.5,859.93,14667,41276
103203,05/05/2021,no,434,2.335,Banking,11,7753.02,36205,372144
103303,26/08/2021,no,409,4.193,Digital,2.062027715,953.76,7999,34335
103305,17/07/2021,no,1286,6.073,Digital,2,1372.59,16671,65884
103371,07/05/2021,no,527,3.879,Digital,6.5,3014.85,23392,144712
103422,20/06/2021,no,-19,6.643,Banking,1.75,1210.75,16085,58116
103443,18/05/2021,no,451,2.451,Digital,6.815888289,1957.8,9599,70480
103575,29/05/2021,no,822,2.178,Digital,11.11967594,2071.65,9024,37289
103795,04/07/2021,no,-322,4.591,Digital,2.172111822,1288.07,11827,23185
