id,contact,day,month,duration,campaign,pdays,previous,poutcome
1000000001,unknown,5,may,261,1,-1,0,
1000000002,unknown,5,may,151,1,-1,0,
1000000003,unknown,5,may,,1,-1,0,
1000000004,unknown,5,may,92,1,-1,0,
1000000005,unknown,5,may,198,1,-1,0,
1000000006,unknown,5,may,,1,-1,0,
1000000007,unknown,5,may,217,1,-1,0,
1000000008,unknown,5,may,,1,-1,0,
1000000009,unknown,5,may,,1,-1,0,
1000000010,unknown,5,may,,1,-1,0,
1000000011,unknown,5,may,,1,-1,0,
1000000012,unknown,5,may,137,1,-1,0,
1000000013,unknown,5, ,517,1,-1,0,
1000000014,unknown,5,may,71,1,-1,0,
1000000015,unknown,5,may,174,1,-1,0,
1000000016,unknown,5,may,353,1,-1,0,
1000000017,unknown,5,may,98,1,-1,0,
1000000018,unknown,5,may,38,1,-1,0,
1000000019,unknown,5,may,219,1,-1,0,
1000000020,unknown,5,may,54,1,-1,0,
1000000021,unknown,5,may,262,1,-1,0,
1000000022,unknown,5,may,164,1,-1,0,
1000000023,unknown,5,may,160,1,-1,0,
1000000024,unknown,5,may,342,1,-1,0,
1000000025,unknown,5,may,181,1,-1,0,
1000000026,unknown,5,may,172,1,-1,0,
1000000027,unknown,5,may,296,1,-1,0,
1000000028,unknown,5,may,127,1,-1,0,
1000000029,unknown,5,may,255,2,-1,0,
1000000030,unknown,5,may,348,1,-1,0,
1000000031,unknown,5,may,225,1,-1,0,
1000000032,unknown,5,may,230,1,-1,0,
1000000033,unknown,5,may,208,1,-1,0,
1000000034,unknown,5,may,226,1,-1,0,
1000000035,unknown,5,may,336,1,-1,0,
1000000036,unknown,5,may,242,1,-1,0,
1000000037,unknown,5,may,365,1,-1,0,
1000000038,unknown,5,may,1666,1,-1,0,
1000000039,unknown,5,may,577,1,-1,0,
1000000040,unknown,5,may,137,1,-1,0,
1000000041,unknown,5,may,160,1,-1,0,
1000000042,unknown,5,may,180,2,-1,0,
1000000043,unknown,5,may,22,1,-1,0,
1000000044,unknown,5,may,1492,1,-1,0,
1000000045,unknown,5,may,616,1,-1,0,
1000000046,unknown,5,may,242,1,-1,0,
1000000047,unknown,5,may,355,1,-1,0,
1000000048,unknown,5,may,225,2,-1,0,
1000000049,unknown,5,may,160,1,-1,0,
1000000050,unknown,5,may,363,1,-1,0,
1000000051,unknown,5,may,266,1,-1,0,
1000000052,unknown,5,may,253,1,-1,0,
1000000053,unknown,5,may,179,1,-1,0,
1000000054,unknown,5,may,787,1,-1,0,
1000000055,unknown,5,may,145,1,-1,0,
1000000056,unknown,5,may,174,1,-1,0,
1000000057,unknown,5,may,104,1,-1,0,
1000000058,unknown,5,may,13,1,-1,0,
1000000059,unknown,5,may,185,1,-1,0,
1000000060,unknown,5,may,1778,1,-1,0,
1000000061,unknown,5,may,138,1,-1,0,
1000000062,unknown,5,may,812,1,-1,0,
1000000063,unknown,5,may,164,1,-1,0,
1000000064,unknown,5,may,,1,-1,0,
1000000065,unknown,5,may,357,1,-1,0,
1000000066,unknown,5,may,91,1,-1,0,
1000000067,unknown,5,may,528,1,-1,0,
1000000068,unknown,5,may,273,1,-1,0,
1000000069,unknown,5,may,158,2,-1,0,
1000000070,unknown,5,may,177,1,-1,0,
1000000071,unknown,5,may,258,1,-1,0,
1000000072,unknown,5,may,172,1,-1,0,
1000000073,unknown,5,may,154,1,-1,0,
1000000074,unknown,5,may,291,1,-1,0,
1000000075,unknown,5,may,181,1,-1,0,
1000000076,unknown,5,may,176,1,-1,0,
1000000077,unknown,5,may,211,1,-1,0,
1000000078,unknown,5,may,349,1,-1,0,
1000000079,unknown,5,may,272,1,-1,0,
1000000080,unknown,5,may,208,1,-1,0,
1000000081,unknown,5,may,193,1,-1,0,
1000000082,unknown,5,may,212,1,-1,0,
1000000083,unknown,5,may,20,1,-1,0,
1000000084,unknown,5,may,1042,1,-1,0,
1000000085,unknown,5,may,246,1,-1,0,
1000000086,unknown,5,may,529,2,-1,0,
1000000087,unknown,5,may,1467,1,-1,0,
1000000088,unknown,5,may,1389,1,-1,0,
1000000089,unknown,5,may,,2,-1,0,
1000000090,unknown,5,may,,2,-1,0,
1000000091,unknown,5,may,,1,-1,0,
1000000092,unknown,5,may,,2,-1,0,
1000000093,unknown,5,may,583,1,-1,0,
1000000094,unknown,5,may,221,1,-1,0,
1000000095,unknown,5,may,173,1,-1,0,
1000000096,unknown,5,may,426,1,-1,0,
1000000097,unknown,5,may,287,1,-1,0,
1000000098,unknown,5,may,101,1,-1,0,
1000000099,unknown,5,may,203,1,-1,0,
1000000100,unknown,5,may,197,1,-1,0,
1000000101,unknown,5,may,257,1,-1,0,
1000000102,unknown,5,may,124,1,-1,0,
1000000103,unknown,5,may,229,1,-1,0,
1000000104,unknown,5,may,55,3,-1,0,
1000000105,unknown,5,may,400,1,-1,0,
1000000106,unknown,5,may,197,1,-1,0,
1000000107,unknown,5,may,190,1,-1,0,
1000000108,unknown,5,may,21,1,-1,0,
1000000109,unknown,5,may,514,1,-1,0,
1000000110,unknown,5,may,849,2,-1,0,
1000000111,unknown,5,may,194,1,-1,0,
1000000112,unknown,5,may,144,1,-1,0,
1000000113,unknown,5,may,212,2,-1,0,
1000000114,unknown,5,may,286,1,-1,0,
1000000115,unknown,5,may,107,1,-1,0,
1000000116,unknown,5,may,247,2,-1,0,
1000000117,unknown,5,may,518,1,-1,0,
1000000118,unknown,5,may,364,1,-1,0,
1000000119,unknown,5,may,178,1,-1,0,
1000000120,unknown,5,may,98,1,-1,0,
1000000121,unknown,5,may,439,1,-1,0,
1000000122,unknown,5,may,79,1,-1,0,
1000000123,unknown,5,may,120,3,-1,0,
1000000124,unknown,5,may,127,2,-1,0,
1000000125,unknown,5,may,175,1,-1,0,
1000000126,unknown,5,may,262,2,-1,0,
1000000127,unknown,5,may,61,1,-1,0,
1000000128,unknown,5,may,78,1,-1,0,
1000000129,unknown,5,may,143,1,-1,0,
